ST,OCCPSTEM,RAC1P,SEX,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
Alabama,Non-STEM,Asian,Female,-0.6649687708826385,0.7777777777777778,25901.153846153848,662,0.8912395289896207,AL,0
Alabama,Non-STEM,Asian,Male,-0.08561004840306125,0.75,29021.06555944056,1382,0.838883909358374,AL,0
Alabama,Non-STEM,Black or African American,Female,-0.010543376016806856,0.8181818181818182,15305.227272727272,51308,1.0183327005539184,AL,0
Alabama,Non-STEM,Black or African American,Male,0.010961625038355804,0.6321428571428571,18778.33653846154,45533,1.0829858632636375,AL,0
Alabama,Non-STEM,Multi-racial and Other,Female,-0.06974072439084782,0.5384615384615384,21427.318181818184,4960,0.9918216809539904,AL,0
Alabama,Non-STEM,Multi-racial and Other,Male,0.12006474241119958,0.66,27667.14160839161,6718,1.099933686045914,AL,0
Alabama,Non-STEM,Native American or Hawaiian,Female,,0.25,5003.631993006994,134,0.3032896301487637,AL,1
Alabama,Non-STEM,Native American or Hawaiian,Male,-0.11503769540569055,0.5714285714285714,23546.503496503497,1027,0.9566873294420566,AL,0
Alabama,Non-STEM,White,Female,-0.08497457278100115,0.8577291381668947,18366.272727272728,78586,0.932987441277879,AL,0
Alabama,Non-STEM,White,Male,0.18610039195858463,0.7853828306264501,29433.12937062937,97778,1.014135100862699,AL,0
Alabama,Not working,Black or African American,Female,,1.0,0.0,832,1.7790645088212007,AL,1
Alabama,Not working,Black or African American,Male,,0.5,0.0,472,1.209490012835935,AL,1
Alabama,Not working,Multi-racial and Other,Male,,1.0,0.0,38,0.6703071709652775,AL,1
Alabama,Not working,White,Female,,0.4,0.0,353,0.4515117793763852,AL,1
Alabama,Not working,White,Male,,0.7142857142857143,0.0,979,1.093959193342064,AL,1
Alabama,STEM,Asian,Male,-1.0020319847224899,1.0,0.0,299,3.406291402069952,AL,0
Alabama,STEM,Black or African American,Female,0.015083120590205149,1.0,17659.877622377622,1067,0.39745302993135173,AL,0
Alabama,STEM,Black or African American,Male,-0.007436586398004041,0.8888888888888888,51802.307692307695,1365,0.6093207422502195,AL,0
Alabama,STEM,Multi-racial and Other,Female,-1.8406338364782586,1.0,58866.25874125874,91,0.3415152506365355,AL,0
Alabama,STEM,Multi-racial and Other,Male,0.019799003997330505,0.5,26489.816433566433,225,0.6913943243806947,AL,0
Alabama,STEM,White,Female,0.23007486926480092,0.9354838709677419,47093.006993007,3486,0.7767384167740179,AL,0
Alabama,STEM,White,Male,0.3124780529661383,0.9540229885057471,52979.632867132874,8817,1.7162964114403596,AL,0
