ST,OCCPSTEM,SEX,RAC1P,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
Alabama,Non-STEM,Female,American Indian alone,,0.0,1530.5227272727273,119,0.2775843789794388,AL,1
Alabama,Non-STEM,Male,American Indian alone,-0.025939561058207626,0.6666666666666666,15305.227272727274,682,0.8838120749952254,AL,0
Alabama,Non-STEM,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",,1.0,8476.74125874126,15,1.142994501680042,AL,1
Alabama,Non-STEM,Female,Asian alone,-0.6649687708826385,0.7777777777777778,25901.153846153848,662,0.8912395289896207,AL,0
Alabama,Non-STEM,Male,Asian alone,-0.08561004840306125,0.75,29021.06555944056,1382,0.838883909358374,AL,0
Alabama,Non-STEM,Female,Black or African American alone,-0.010543376016806856,0.8181818181818182,15305.227272727272,51308,1.0183327005539184,AL,0
Alabama,Non-STEM,Male,Black or African American alone,0.010961625038355804,0.6321428571428571,18778.33653846154,45533,1.0829858632636375,AL,0
Alabama,Non-STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.5605283671431052,0.0,23546.503496503497,345,1.1429945016800422,AL,0
Alabama,Non-STEM,Female,Some Other Race alone,-0.0026027511263697492,0.4,25901.153846153848,2289,0.994040430982377,AL,0
Alabama,Non-STEM,Male,Some Other Race alone,-0.05306708225031335,0.6190476190476191,25901.153846153848,3420,1.1413258965681004,AL,0
Alabama,Non-STEM,Female,Two or More Races,-0.14107482098435578,0.6842105263157895,15187.494755244756,2671,0.9899281173759381,AL,0
Alabama,Non-STEM,Male,Two or More Races,0.2781416257977984,0.6896551724137931,29433.12937062937,3298,1.0600663291734476,AL,0
Alabama,Non-STEM,Female,White alone,-0.08497457278100115,0.8577291381668947,18366.272727272728,78586,0.932987441277879,AL,0
Alabama,Non-STEM,Male,White alone,0.18610039195858463,0.7853828306264501,29433.12937062937,97778,1.014135100862699,AL,0
Alabama,Not working,Female,Black or African American alone,,1.0,0.0,832,1.7790645088212007,AL,1
Alabama,Not working,Male,Black or African American alone,,0.5,0.0,472,1.209490012835935,AL,1
Alabama,Not working,Male,Two or More Races,,1.0,0.0,38,1.3159207987931951,AL,1
Alabama,Not working,Female,White alone,,0.4,0.0,353,0.4515117793763852,AL,1
Alabama,Not working,Male,White alone,,0.7142857142857143,0.0,979,1.093959193342064,AL,1
Alabama,STEM,Male,Asian alone,-1.0020319847224899,1.0,0.0,299,3.406291402069952,AL,0
Alabama,STEM,Female,Black or African American alone,0.015083120590205149,1.0,17659.877622377622,1067,0.39745302993135173,AL,0
Alabama,STEM,Male,Black or African American alone,-0.007436586398004041,0.8888888888888888,51802.307692307695,1365,0.6093207422502195,AL,0
Alabama,STEM,Male,Some Other Race alone,,0.0,0.0,5,0.03131629377778835,AL,1
Alabama,STEM,Female,Two or More Races,-1.8406338364782586,1.0,58866.25874125874,91,0.6329770339294543,AL,0
Alabama,STEM,Male,Two or More Races,0.019799003997330505,0.6666666666666666,35319.755244755244,220,1.3271556446323691,AL,0
Alabama,STEM,Female,White alone,0.23007486926480092,0.9354838709677419,47093.006993007,3486,0.7767384167740179,AL,0
Alabama,STEM,Male,White alone,0.3124780529661383,0.9540229885057471,52979.632867132874,8817,1.7162964114403596,AL,0
Alabama,STEM-related,Female,American Indian alone,-0.27974280679809826,1.0,27549.409090909096,371,10.75975449607576,AL,0
Alabama,STEM-related,Male,American Indian alone,0.17631503521059866,1.0,41206.381118881116,200,3.2224481869049897,AL,0
Alabama,STEM-related,Female,Asian alone,0.517374431939132,1.0,37262.34178321679,187,3.1301017035276066,AL,0
Alabama,STEM-related,Male,Asian alone,-0.08310702084836114,1.0,48034.86713286714,202,1.5244935177157213,AL,0
Alabama,STEM-related,Female,Black or African American alone,0.45256387462082154,0.8333333333333334,28844.466783216783,4382,1.0813278001289812,AL,0
Alabama,STEM-related,Male,Black or African American alone,-0.5412596995335576,1.0,6475.288461538462,686,0.20286215252863718,AL,0
Alabama,STEM-related,Female,Some Other Race alone,0.34884313172565323,1.0,11773.251748251749,343,1.851964969968881,AL,0
Alabama,STEM-related,Female,Two or More Races,0.31558752938530865,0.6666666666666666,42383.706293706295,322,1.4837681174996185,AL,0
Alabama,STEM-related,Female,White alone,0.1344618177265259,0.953125,37674.4055944056,13850,2.0443760226837333,AL,0
Alabama,STEM-related,Male,White alone,0.02223193092886747,1.0,35319.755244755244,2628,0.33889129791811073,AL,0
Alaska,Non-STEM,Female,Alaska Native alone,-0.029009802509971604,0.6792452830188679,5766.764985727878,2910,1.0498208193616683,AK,0
Alaska,Non-STEM,Male,Alaska Native alone,-0.24634268503647933,0.6197183098591549,9899.613225499525,4964,1.0669066601812518,AK,0
Alaska,Non-STEM,Female,American Indian alone,-0.16796644803514324,1.0,6439.554234062798,35,1.0851756098418894,AK,0
Alaska,Non-STEM,Male,American Indian alone,-0.53224368221136,1.0,5382.3139866793545,48,1.0851756098418897,AK,0
Alaska,Non-STEM,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.1016693389898364,0.8888888888888888,6151.215984776404,509,1.0851756098418897,AK,0
Alaska,Non-STEM,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0.014172169052965186,0.7,1489.7476213130353,578,1.0851756098418894,AK,0
Alaska,Non-STEM,Female,Asian alone,-0.1858214588672348,1.0,8169.583729781161,1378,1.0022600471596004,AK,0
Alaska,Non-STEM,Male,Asian alone,0.11043552082204296,0.9166666666666666,28833.824928639395,1862,1.0851756098418897,AK,0
Alaska,Non-STEM,Female,Black or African American alone,-0.34030286534543275,1.0,19222.549952426263,1199,1.0851756098418897,AK,0
Alaska,Non-STEM,Male,Black or African American alone,-0.3285161769569188,0.6666666666666666,34600.58991436727,1057,1.0810844671092152,AK,0
Alaska,Non-STEM,Female,Native Hawaiian and Other Pacific Islander alone,-0.17210643975432538,1.0,21433.143196955283,797,1.0851756098418897,AK,0
Alaska,Non-STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.4289417091635359,0.7142857142857143,52862.01236917223,767,1.0851756098418897,AK,0
Alaska,Non-STEM,Female,Some Other Race alone,,1.0,0.0,220,1.0851756098418897,AK,1
Alaska,Non-STEM,Male,Some Other Race alone,-0.5794962757924761,0.0,46134.119885823035,234,1.0851756098418897,AK,0
Alaska,Non-STEM,Female,Two or More Races,-0.2116864440076597,0.6363636363636364,22490.383444338724,2334,1.0221145574539832,AK,0
Alaska,Non-STEM,Male,Two or More Races,2.060597800250508,0.4375,16819.731208372978,2173,1.0489709075562392,AK,0
Alaska,Non-STEM,Female,White alone,-0.11095938977541407,0.8686868686868687,21144.80494766889,15652,0.9684780844591889,AK,0
Alaska,Non-STEM,Male,White alone,-0.062071777359065425,0.7798165137614679,28833.824928639395,20142,0.9680502738578032,AK,0
Alaska,Not working,Female,White alone,,1.0,0.0,109,1.5781177332982301,AK,1
Alaska,Not working,Male,White alone,,0.0,0.0,134,1.50692994346143,AK,1
Alaska,STEM,Male,Alaska Native alone,-0.48889467325243524,1.0,33639.46241674596,85,0.3534379750779887,AK,0
Alaska,STEM,Male,Black or African American alone,-0.5794962757924761,1.0,9611.274976213132,4,0.07914878687891623,AK,0
Alaska,STEM,Female,Two or More Races,-0.4604557296364704,1.0,105724.02473834444,144,1.2200028505355465,AK,0
Alaska,STEM,Male,Two or More Races,1.6534197228459409,0.5,24989.314938154144,75,0.7004297949165658,AK,0
Alaska,STEM,Female,White alone,-0.43430906932875585,0.75,23547.623691722176,1009,1.2078437484952227,AK,0
Alaska,STEM,Male,White alone,0.0866939890321269,0.8333333333333334,45172.99238820172,1622,1.5081543866975489,AK,0
Alaska,STEM-related,Female,Alaska Native alone,-0.49305901545566383,1.0,32678.334919124645,98,1.2102576953130004,AK,0
Alaska,STEM-related,Female,Asian alone,-0.5794962757924761,1.0,48056.37488106565,114,2.8383479702301497,AK,0
Alaska,STEM-related,Female,White alone,0.3039204597230397,0.8,3844.509990485253,768,1.6267123478121883,AK,0
Alaska,STEM-related,Male,White alone,-0.39227676533450956,0.875,46134.119885823035,681,1.1203972064743764,AK,0
Arizona,Non-STEM,Female,American Indian alone,-0.03452702960726188,0.7767857142857143,11958.10280373832,11525,1.0737131024761943,AZ,0
Arizona,Non-STEM,Male,American Indian alone,0.33808289123041213,0.65,15891.689252336451,12099,1.06385889536547,AZ,0
Arizona,Non-STEM,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.26107402512331557,0.6,25070.057632398755,1331,1.051144678625705,AZ,0
Arizona,Non-STEM,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.48101040624631686,0.7692307692307693,25174.953271028044,1533,1.1111649608011773,AZ,0
Arizona,Non-STEM,Female,Asian alone,-0.0685701074461966,0.8490566037735849,18356.73676012461,7193,0.8503680777787925,AZ,0
Arizona,Non-STEM,Male,Asian alone,0.24799440218687302,0.8955223880597015,20244.85825545172,6974,0.7193227918525399,AZ,0
Arizona,Non-STEM,Female,Black or African American alone,-0.2699540458707052,0.8888888888888888,20979.1277258567,15267,1.066793828232397,AZ,0
Arizona,Non-STEM,Male,Black or African American alone,0.01104298920260455,0.8061224489795918,20979.1277258567,18405,1.0190846673084348,AZ,0
Arizona,Non-STEM,Female,Native Hawaiian and Other Pacific Islander alone,0.08607454768513723,1.0,37762.429906542064,533,1.1111649608011775,AZ,0
Arizona,Non-STEM,Male,Native Hawaiian and Other Pacific Islander alone,0.11383465806389037,1.0,41958.2554517134,833,0.9219127613021721,AZ,0
Arizona,Non-STEM,Female,Some Other Race alone,0.030498848951760894,0.8366013071895425,22028.084112149536,17692,1.0034060068647628,AZ,0
Arizona,Non-STEM,Male,Some Other Race alone,0.057531051688345373,0.6813186813186813,22867.249221183803,22043,1.091166268585573,AZ,0
Arizona,Non-STEM,Female,Two or More Races,-0.16303824618720086,0.7884615384615384,19930.171339563865,11153,1.0152226433862155,AZ,0
Arizona,Non-STEM,Male,Two or More Races,-0.04537426817739366,0.7425742574257426,20979.1277258567,12335,1.0103361190831877,AZ,0
Arizona,Non-STEM,Female,White alone,-0.08930395775922047,0.8570422535211267,20979.1277258567,179243,1.001889106099739,AZ,0
Arizona,Non-STEM,Male,White alone,-0.002432339553774854,0.7873333333333333,25174.953271028044,185300,0.9916242076905873,AZ,0
Arizona,Not working,Female,American Indian alone,,0.0,0.0,210,4.54120565853525,AZ,1
Arizona,Not working,Male,American Indian alone,,0.8571428571428571,0.0,538,10.980481511385788,AZ,1
Arizona,Not working,Male,Asian alone,,1.0,0.0,42,1.0055316047405538,AZ,1
Arizona,Not working,Female,White alone,,0.9,0.0,906,1.1754663599525765,AZ,1
Arizona,Not working,Male,White alone,,0.75,0.0,473,0.5875399453825664,AZ,1
Arizona,STEM,Female,Asian alone,-0.39015990920323873,1.0,52447.81931464175,1727,3.057332747909955,AZ,0
Arizona,STEM,Male,Asian alone,0.2864557789815584,0.9166666666666666,62937.3831775701,2809,4.33857490171709,AZ,0
Arizona,STEM,Female,Black or African American alone,3.509253543963718,1.0,74475.90342679128,92,0.09626492979472201,AZ,0
Arizona,STEM,Male,Black or African American alone,0.5913504165003761,0.6666666666666666,23496.623052959505,1663,1.378860012538672,AZ,0
Arizona,STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.729872260930526,1.0,57692.60124610593,171,2.833964578911089,AZ,0
Arizona,STEM,Female,Some Other Race alone,-0.6477552230871697,1.0,44056.16822429907,60,0.05095707587820904,AZ,0
Arizona,STEM,Male,Some Other Race alone,0.3199463391760611,0.6666666666666666,29370.778816199374,195,0.1445467478713896,AZ,0
Arizona,STEM,Female,Two or More Races,-0.15621340934610678,1.0,35769.412772585674,530,0.7224352778748694,AZ,0
Arizona,STEM,Male,Two or More Races,-0.5255721161410054,1.0,52447.81931464175,947,1.161529345402428,AZ,0
Arizona,STEM,Female,White alone,0.11064214898036147,0.9552238805970149,40909.299065420564,7917,0.6626612531047106,AZ,0
Arizona,STEM,Male,White alone,0.13373199629383664,0.9430379746835443,40227.47741433022,17510,1.4031733550625616,AZ,0
Arizona,STEM-related,Female,American Indian alone,0.023300563077768885,0.6666666666666666,3776.242990654206,192,0.44632998300414845,AZ,0
Arizona,STEM-related,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",,1.0,62937.3831775701,76,1.497633505663929,AZ,1
Arizona,STEM-related,Female,Asian alone,-0.2810369161263435,1.0,50349.90654205609,479,1.4129926952513452,AZ,0
Arizona,STEM-related,Male,Asian alone,-0.2839806397312646,1.0,17832.258566978195,948,2.4398196815879274,AZ,0
Arizona,STEM-related,Female,Black or African American alone,1.2753846250058312,0.6666666666666666,57692.60124610593,543,0.946747426640101,AZ,0
Arizona,STEM-related,Female,Some Other Race alone,0.09459675312575812,0.9090909090909091,37762.429906542064,1840,2.6039048095243174,AZ,0
Arizona,STEM-related,Male,Some Other Race alone,-0.24983265114811254,1.0,31468.69158878505,209,0.2581511311885845,AZ,0
Arizona,STEM-related,Female,Two or More Races,0.07879269130819358,0.8,47203.037383177565,524,1.1901683454422545,AZ,0
Arizona,STEM-related,Male,Two or More Races,-0.7417776295029318,1.0,31468.69158878505,284,0.5804336472578874,AZ,0
Arizona,STEM-related,Female,White alone,0.1886072457705349,0.9622641509433962,41958.2554517134,10727,1.4961090353749715,AZ,0
Arizona,STEM-related,Male,White alone,-0.21262635659985796,0.9111111111111111,36713.47352024923,4355,0.5815236411860736,AZ,0
Arkansas,Non-STEM,Female,Alaska Native alone,0.47144040780317714,1.0,6440.121605667061,150,1.1166980700241647,AR,0
Arkansas,Non-STEM,Female,American Indian alone,0.3596492943942772,0.6,25044.917355371905,554,1.1166980700241647,AR,0
Arkansas,Non-STEM,Male,American Indian alone,-1.3320654455837284,0.0,22659.687131050767,156,1.1166980700241647,AR,0
Arkansas,Non-STEM,Female,Asian alone,0.05740854373004858,1.0,23852.30224321134,1616,1.0577866829771687,AR,0
Arkansas,Non-STEM,Male,Asian alone,-0.5389122711949509,0.8461538461538461,8586.828807556081,1665,0.8083922985174931,AR,0
Arkansas,Non-STEM,Female,Black or African American alone,-0.029429079569553117,0.8941176470588236,17650.703659976392,16423,1.0371865402107712,AR,0
Arkansas,Non-STEM,Male,Black or African American alone,-0.18432941743171677,0.75,17889.2266824085,19611,1.0651021765110593,AR,0
Arkansas,Non-STEM,Female,Native Hawaiian and Other Pacific Islander alone,,0.25,0.0,850,1.1166980700241647,AR,1
Arkansas,Non-STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.5354188581116297,0.8,24806.39433293979,586,1.1166980700241647,AR,0
Arkansas,Non-STEM,Female,Some Other Race alone,0.08335785415522236,0.8333333333333334,23852.30224321134,2101,1.0958349580199767,AR,0
